,Giorno,T Media,T min,T max,Precip.,Umidità,Vento Max,Raffica,Fenomeni,Info,mese,anno,citta
29,1,17.1 °C,8 °C,22 °C,-,45 %,20.6 km/h,-,Nessuno,,Settembre,1995,Itri
30,2,18.5 °C,11 °C,23 °C,-,58 %,14.8 km/h,-,Nessuno,,Settembre,1995,Itri
31,3,18.8 °C,9 °C,26 °C,-,59 %,5.4 km/h,-,Nessuno,,Settembre,1995,Itri
32,4,23 °C,17 °C,28 °C,n/d,63 %,18.3 km/h,-,,,Settembre,1995,Itri
33,5,18.7 °C,16 °C,21 °C,n/d,85 %,18.3 km/h,-,,,Settembre,1995,Itri
34,6,19.7 °C,15 °C,24 °C,-,70 %,16.5 km/h,-,Nessuno,,Settembre,1995,Itri
35,7,20.2 °C,12 °C,25 °C,-,68 %,22.2 km/h,-,Nessuno,,Settembre,1995,Itri
36,8,21.9 °C,17 °C,27 °C,n/d,75 %,27.8 km/h,-,,,Settembre,1995,Itri
37,9,20.5 °C,13 °C,26 °C,-,69 %,18.3 km/h,-,Nessuno,,Settembre,1995,Itri
38,10,21.7 °C,13 °C,27 °C,-,58 %,9.4 km/h,-,Nessuno,,Settembre,1995,Itri
39,11,20.6 °C,13 °C,27 °C,-,65 %,11.1 km/h,-,Nessuno,,Settembre,1995,Itri
40,12,20.4 °C,13 °C,27 °C,-,65 %,13 km/h,-,,,Settembre,1995,Itri
41,13,20 °C,14 °C,22 °C,n/d,79 %,20.6 km/h,-,,,Settembre,1995,Itri
42,14,16.6 °C,15 °C,20 °C,n/d,78 %,16.5 km/h,-,,,Settembre,1995,Itri
43,15,18.9 °C,13 °C,23 °C,-,78 %,18.3 km/h,-,,,Settembre,1995,Itri
44,16,18 °C,13 °C,24 °C,n/d,81 %,14.8 km/h,-,,,Settembre,1995,Itri
45,17,18.4 °C,16 °C,23 °C,n/d,80 %,14.8 km/h,-,,,Settembre,1995,Itri
46,18,21.8 °C,15 °C,26 °C,-,78 %,9.4 km/h,-,Nessuno,,Settembre,1995,Itri
47,19,21.9 °C,19 °C,24 °C,-,88 %,24.1 km/h,-,Nessuno,,Settembre,1995,Itri
48,20,20.1 °C,14 °C,24 °C,-,71 %,11.1 km/h,-,Nessuno,,Settembre,1995,Itri
49,21,15.6 °C,12 °C,19 °C,n/d,86 %,14.8 km/h,-,,,Settembre,1995,Itri
50,22,18 °C,10 °C,22 °C,-,75 %,13 km/h,-,,,Settembre,1995,Itri
51,23,18.4 °C,10 °C,24 °C,-,74 %,13 km/h,-,Nessuno,,Settembre,1995,Itri
52,24,16.1 °C,11 °C,21 °C,n/d,80 %,14.8 km/h,-,,,Settembre,1995,Itri
53,25,16.2 °C,11 °C,24 °C,-,85 %,9.4 km/h,-,Nessuno,,Settembre,1995,Itri
54,26,18.8 °C,11 °C,24 °C,-,72 %,9.4 km/h,-,Nessuno,,Settembre,1995,Itri
55,27,18.3 °C,11 °C,24 °C,-,72 %,18.3 km/h,-,Nessuno,,Settembre,1995,Itri
56,28,18.3 °C,9 °C,24 °C,-,68 %,11.1 km/h,-,Nessuno,,Settembre,1995,Itri
57,29,17.7 °C,10 °C,23 °C,-,71 %,16.5 km/h,-,Nessuno,,Settembre,1995,Itri
58,1,14.2 °C,11 °C,18 °C,n/d,84 %,9.4 km/h,-,,,Maggio,1995,Itri
59,2,15.6 °C,9 °C,22 °C,-,74 %,20.6 km/h,-,,,Maggio,1995,Itri
60,3,15.5 °C,9 °C,22 °C,-,61 %,18.3 km/h,-,Nessuno,,Maggio,1995,Itri
61,4,13.1 °C,5 °C,20 °C,-,63 %,20.6 km/h,-,Nessuno,,Maggio,1995,Itri
62,5,14.9 °C,6 °C,24 °C,-,69 %,14.8 km/h,-,Nessuno,,Maggio,1995,Itri
63,6,17.8 °C,9 °C,25 °C,-,58 %,20.6 km/h,-,Nessuno,,Maggio,1995,Itri
64,7,17 °C,10 °C,25 °C,-,66 %,14.8 km/h,-,Nessuno,,Maggio,1995,Itri
65,8,14.3 °C,8 °C,22 °C,-,67 %,24.1 km/h,-,Nessuno,,Maggio,1995,Itri
66,9,16.7 °C,8 °C,24 °C,-,62 %,18.3 km/h,-,Nessuno,,Maggio,1995,Itri
67,10,17 °C,9 °C,24 °C,-,70 %,18.3 km/h,-,Nessuno,,Maggio,1995,Itri
68,11,17.8 °C,14 °C,24 °C,n/d,74 %,27.8 km/h,-,,,Maggio,1995,Itri
69,12,14.9 °C,12 °C,17 °C,n/d,88 %,31.3 km/h,55 km/h,,,Maggio,1995,Itri
70,13,11.6 °C,8 °C,16 °C,n/d,82 %,29.4 km/h,52 km/h,,,Maggio,1995,Itri
71,14,11.7 °C,8 °C,15 °C,n/d,82 %,16.5 km/h,-,,,Maggio,1995,Itri
72,15,14.9 °C,8 °C,20 °C,-,67 %,24.1 km/h,-,Nessuno,,Maggio,1995,Itri
73,16,16.3 °C,12 °C,20 °C,-,69 %,16.5 km/h,-,Nessuno,,Maggio,1995,Itri
74,17,15.4 °C,12 °C,19 °C,-,80 %,20.6 km/h,-,Nessuno,,Maggio,1995,Itri
75,18,15.7 °C,11 °C,21 °C,n/d,79 %,20.6 km/h,-,,,Maggio,1995,Itri
76,19,16.6 °C,14 °C,21 °C,-,78 %,22.2 km/h,-,Nessuno,,Maggio,1995,Itri
77,20,16 °C,11 °C,20 °C,-,66 %,14.8 km/h,-,,,Maggio,1995,Itri
78,21,12.9 °C,10 °C,17 °C,-,85 %,24.1 km/h,-,Nessuno,,Maggio,1995,Itri
79,22,14.3 °C,6 °C,20 °C,n/d,75 %,11.1 km/h,-,,,Maggio,1995,Itri
80,23,16.1 °C,9 °C,22 °C,-,77 %,16.5 km/h,-,,,Maggio,1995,Itri
81,24,13.9 °C,9 °C,23 °C,-,80 %,14.8 km/h,-,Nessuno,,Maggio,1995,Itri
82,25,19.4 °C,10 °C,27 °C,-,61 %,5.4 km/h,-,Nessuno,,Maggio,1995,Itri
83,26,19.9 °C,13 °C,24 °C,n/d,70 %,11.1 km/h,-,,,Maggio,1995,Itri
84,27,21.9 °C,14 °C,28 °C,-,65 %,13 km/h,-,Nessuno,,Maggio,1995,Itri
85,28,21.6 °C,12 °C,28 °C,-,72 %,14.8 km/h,-,,,Maggio,1995,Itri
86,29,21 °C,14 °C,27 °C,-,79 %,18.3 km/h,-,Nessuno,,Maggio,1995,Itri
87,30,21.4 °C,14 °C,27 °C,-,68 %,14.8 km/h,-,Nessuno,,Maggio,1995,Itri
88,1,21.1 °C,12 °C,28 °C,-,54 %,13 km/h,-,Nessuno,,Giugno,1996,Itri
89,2,21.9 °C,13 °C,27 °C,-,51 %,13 km/h,-,Nessuno,,Giugno,1996,Itri
90,3,20.2 °C,12 °C,30 °C,-,53 %,7.6 km/h,-,Nessuno,,Giugno,1996,Itri
91,4,20.1 °C,16 °C,23 °C,n/d,77 %,9.4 km/h,-,,,Giugno,1996,Itri
92,5,22.5 °C,17 °C,27 °C,n/d,65 %,13 km/h,-,,,Giugno,1996,Itri
93,6,23.6 °C,17 °C,27 °C,-,60 %,9.4 km/h,-,Nessuno,,Giugno,1996,Itri
94,7,25.8 °C,17 °C,31 °C,-,59 %,20.6 km/h,-,,,Giugno,1996,Itri
95,8,26.2 °C,17 °C,32 °C,-,60 %,14.8 km/h,-,Nessuno,,Giugno,1996,Itri
96,9,26.9 °C,18 °C,34 °C,-,59 %,18.3 km/h,-,Nessuno,,Giugno,1996,Itri
97,10,26.4 °C,18 °C,34 °C,-,63 %,11.1 km/h,-,,,Giugno,1996,Itri
98,11,26.2 °C,18 °C,34 °C,-,61 %,14.8 km/h,31 km/h,Nessuno,,Giugno,1996,Itri
99,12,26.1 °C,17 °C,34 °C,n/d,55 %,16.5 km/h,-,,,Giugno,1996,Itri
100,13,24.4 °C,16 °C,33 °C,-,62 %,1.9 km/h,-,Nessuno,,Giugno,1996,Itri
101,14,-,-,-,-,-,-,-,,n/d,Giugno,1996,Itri
102,15,26 °C,23 °C,29 °C,-,41 %,13 km/h,-,Nessuno,,Giugno,1996,Itri
103,16,22.4 °C,16 °C,27 °C,n/d,57 %,14.8 km/h,-,,,Giugno,1996,Itri
104,17,18.8 °C,15 °C,25 °C,n/d,81 %,18.3 km/h,-,,,Giugno,1996,Itri
105,18,25 °C,20 °C,29 °C,-,48 %,24.1 km/h,31 km/h,Nessuno,,Giugno,1996,Itri
106,19,21.8 °C,15 °C,27 °C,-,66 %,18.3 km/h,-,Nessuno,,Giugno,1996,Itri
107,20,22.6 °C,15 °C,27 °C,-,65 %,14.8 km/h,-,Nessuno,,Giugno,1996,Itri
108,21,24.1 °C,14 °C,30 °C,-,53 %,18.3 km/h,-,Nessuno,,Giugno,1996,Itri
109,22,20.4 °C,16 °C,25 °C,n/d,68 %,16.5 km/h,-,,,Giugno,1996,Itri
110,23,20.7 °C,15 °C,25 °C,-,54 %,11.1 km/h,-,Nessuno,,Giugno,1996,Itri
111,24,18.4 °C,13 °C,23 °C,-,65 %,11.1 km/h,-,Nessuno,,Giugno,1996,Itri
112,25,17.7 °C,15 °C,22 °C,n/d,79 %,14.8 km/h,-,,,Giugno,1996,Itri
113,26,17.2 °C,12 °C,21 °C,n/d,72 %,9.4 km/h,-,,,Giugno,1996,Itri
114,27,18.2 °C,12 °C,23 °C,-,71 %,5.4 km/h,-,,,Giugno,1996,Itri
115,28,19.8 °C,10 °C,26 °C,-,60 %,7.6 km/h,-,Nessuno,,Giugno,1996,Itri
116,29,20.4 °C,12 °C,27 °C,-,61 %,5.4 km/h,-,Nessuno,,Giugno,1996,Itri
117,1,20.9 °C,11 °C,27 °C,-,64 %,9.4 km/h,-,Nessuno,,Settembre,1996,Itri
118,2,20.6 °C,16 °C,25 °C,n/d,72 %,20.6 km/h,-,,,Settembre,1996,Itri
119,3,20.3 °C,12 °C,26 °C,-,69 %,11.1 km/h,-,Nessuno,,Settembre,1996,Itri
120,4,18.7 °C,15 °C,22 °C,n/d,71 %,18.3 km/h,39 km/h,,,Settembre,1996,Itri
121,5,19.8 °C,12 °C,27 °C,-,64 %,11.1 km/h,-,Nessuno,,Settembre,1996,Itri
122,6,19.6 °C,13 °C,25 °C,-,68 %,11.1 km/h,-,,,Settembre,1996,Itri
123,7,14.4 °C,11 °C,20 °C,n/d,85 %,13 km/h,-,,,Settembre,1996,Itri
124,8,17 °C,6 °C,24 °C,-,42 %,9.4 km/h,-,Nessuno,,Settembre,1996,Itri
125,9,18.4 °C,10 °C,24 °C,-,60 %,11.1 km/h,-,Nessuno,,Settembre,1996,Itri
126,10,22.1 °C,16 °C,25 °C,-,40 %,7.6 km/h,-,Nessuno,,Settembre,1996,Itri
127,11,18.4 °C,10 °C,25 °C,-,65 %,5.4 km/h,-,Nessuno,,Settembre,1996,Itri
128,12,22.1 °C,17 °C,26 °C,n/d,84 %,16.5 km/h,-,,,Settembre,1996,Itri
129,13,18.7 °C,16 °C,22 °C,n/d,81 %,16.5 km/h,-,,,Settembre,1996,Itri
130,14,17.6 °C,10 °C,23 °C,-,48 %,13 km/h,-,Nessuno,,Settembre,1996,Itri
131,15,16.6 °C,7 °C,24 °C,-,58 %,9.4 km/h,-,Nessuno,,Settembre,1996,Itri
132,16,18.3 °C,9 °C,23 °C,-,67 %,13 km/h,-,Nessuno,,Settembre,1996,Itri
133,17,17.7 °C,10 °C,24 °C,-,69 %,16.5 km/h,-,Nessuno,,Settembre,1996,Itri
134,18,14.7 °C,14 °C,16 °C,n/d,89 %,9.4 km/h,-,,,Settembre,1996,Itri
135,19,17.7 °C,12 °C,22 °C,n/d,78 %,13 km/h,-,,,Settembre,1996,Itri
136,20,17.6 °C,14 °C,21 °C,n/d,80 %,7.6 km/h,-,,,Settembre,1996,Itri
137,21,17.1 °C,13 °C,21 °C,n/d,86 %,7.6 km/h,-,,,Settembre,1996,Itri
138,22,18.4 °C,15 °C,22 °C,n/d,87 %,9.4 km/h,-,,,Settembre,1996,Itri
139,23,15.1 °C,13 °C,20 °C,n/d,87 %,9.4 km/h,-,,,Settembre,1996,Itri
140,24,16 °C,12 °C,20 °C,-,78 %,13 km/h,-,Nessuno,,Settembre,1996,Itri
141,25,14.6 °C,10 °C,18 °C,n/d,87 %,5.4 km/h,-,,,Settembre,1996,Itri
142,26,17.7 °C,13 °C,22 °C,-,72 %,11.1 km/h,-,,,Settembre,1996,Itri
143,27,16.9 °C,9 °C,22 °C,-,65 %,5.4 km/h,-,Nessuno,,Settembre,1996,Itri
144,28,20.4 °C,16 °C,24 °C,-,54 %,1.9 km/h,-,Nessuno,,Settembre,1996,Itri
145,29,19.4 °C,12 °C,25 °C,-,58 %,5.4 km/h,-,Nessuno,,Settembre,1996,Itri
146,1,16.2 °C,14 °C,19 °C,n/d,85 %,13 km/h,-,,,Maggio,1996,Itri
147,2,16.5 °C,13 °C,20 °C,n/d,84 %,13 km/h,-,,,Maggio,1996,Itri
148,3,17.9 °C,16 °C,20 °C,n/d,76 %,18.3 km/h,-,,,Maggio,1996,Itri
149,4,16.3 °C,11 °C,20 °C,n/d,80 %,7.6 km/h,-,,,Maggio,1996,Itri
150,5,17.5 °C,10 °C,25 °C,n/d,79 %,7.6 km/h,-,,,Maggio,1996,Itri
151,6,21.1 °C,12 °C,27 °C,-,71 %,9.4 km/h,-,Nessuno,,Maggio,1996,Itri
152,7,20.3 °C,13 °C,26 °C,-,79 %,13 km/h,-,Nessuno,,Maggio,1996,Itri
153,8,19.1 °C,13 °C,25 °C,-,77 %,13 km/h,-,Nessuno,,Maggio,1996,Itri
154,9,14.9 °C,12 °C,18 °C,n/d,90 %,9.4 km/h,-,,,Maggio,1996,Itri
155,10,18 °C,9 °C,23 °C,-,69 %,9.4 km/h,-,Nessuno,,Maggio,1996,Itri
156,11,14.9 °C,13 °C,16 °C,n/d,90 %,13 km/h,-,,,Maggio,1996,Itri
157,12,15.3 °C,12 °C,19 °C,n/d,85 %,18.3 km/h,-,,,Maggio,1996,Itri
158,13,14.2 °C,11 °C,18 °C,n/d,85 %,5.4 km/h,-,,,Maggio,1996,Itri
159,14,15.5 °C,8 °C,22 °C,-,77 %,11.1 km/h,-,,,Maggio,1996,Itri
160,15,16.9 °C,9 °C,22 °C,-,71 %,18.3 km/h,-,Nessuno,,Maggio,1996,Itri
161,16,16.8 °C,9 °C,23 °C,-,77 %,13 km/h,-,,,Maggio,1996,Itri
162,17,19.1 °C,11 °C,25 °C,-,77 %,5.4 km/h,-,,,Maggio,1996,Itri
163,18,18.7 °C,12 °C,28 °C,-,71 %,11.1 km/h,-,Nessuno,,Maggio,1996,Itri
164,19,-,-,-,-,-,-,-,,n/d,Maggio,1996,Itri
165,20,17.1 °C,14 °C,21 °C,n/d,71 %,14.8 km/h,-,,,Maggio,1996,Itri
166,21,18.1 °C,7 °C,24 °C,-,51 %,13 km/h,-,Nessuno,,Maggio,1996,Itri
167,22,17.3 °C,8 °C,23 °C,-,61 %,11.1 km/h,-,Nessuno,,Maggio,1996,Itri
168,23,19.8 °C,9 °C,24 °C,-,62 %,14.8 km/h,-,Nessuno,,Maggio,1996,Itri
169,24,19.2 °C,11 °C,24 °C,-,73 %,13 km/h,-,Nessuno,,Maggio,1996,Itri
170,25,19.8 °C,13 °C,25 °C,-,77 %,13 km/h,-,,,Maggio,1996,Itri
171,26,18.1 °C,12 °C,25 °C,-,71 %,5.4 km/h,-,Nessuno,,Maggio,1996,Itri
172,27,18 °C,12 °C,23 °C,n/d,78 %,20.6 km/h,-,,,Maggio,1996,Itri
173,28,18.4 °C,13 °C,25 °C,n/d,62 %,18.3 km/h,-,,,Maggio,1996,Itri
174,29,16.3 °C,11 °C,22 °C,-,41 %,14.8 km/h,-,Nessuno,,Maggio,1996,Itri
175,30,18.4 °C,7 °C,26 °C,-,57 %,11.1 km/h,-,Nessuno,,Maggio,1996,Itri
176,1,15.6 °C,14 °C,20 °C,n/d,85 %,7.6 km/h,-,,,Giugno,1997,Itri
177,2,18.2 °C,14 °C,23 °C,n/d,81 %,16.5 km/h,-,,,Giugno,1997,Itri
178,3,19.1 °C,13 °C,24 °C,-,74 %,14.8 km/h,-,Nessuno,,Giugno,1997,Itri
179,4,20.6 °C,13 °C,26 °C,-,67 %,14.8 km/h,-,Nessuno,,Giugno,1997,Itri
180,5,18.8 °C,15 °C,23 °C,n/d,83 %,13 km/h,-,,,Giugno,1997,Itri
181,6,19 °C,13 °C,25 °C,n/d,75 %,18.3 km/h,-,,,Giugno,1997,Itri
182,7,21.5 °C,14 °C,27 °C,-,70 %,13 km/h,-,Nessuno,,Giugno,1997,Itri
183,8,21.1 °C,15 °C,29 °C,-,74 %,14.8 km/h,28 km/h,Nessuno,,Giugno,1997,Itri
184,9,27 °C,17 °C,32 °C,-,52 %,11.1 km/h,-,Nessuno,,Giugno,1997,Itri
185,10,26.8 °C,18 °C,32 °C,-,56 %,7.6 km/h,-,Nessuno,,Giugno,1997,Itri
186,11,26.7 °C,20 °C,32 °C,-,59 %,13 km/h,-,Nessuno,,Giugno,1997,Itri
187,12,24 °C,17 °C,31 °C,-,66 %,13 km/h,-,Nessuno,,Giugno,1997,Itri
188,13,18.2 °C,16 °C,23 °C,-,89 %,13 km/h,-,,,Giugno,1997,Itri
189,14,25.9 °C,17 °C,33 °C,-,63 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
190,15,25.9 °C,18 °C,32 °C,-,66 %,16.5 km/h,-,Nessuno,,Giugno,1997,Itri
191,16,25.9 °C,19 °C,32 °C,-,72 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
192,17,25.6 °C,20 °C,32 °C,-,65 %,13 km/h,-,Nessuno,,Giugno,1997,Itri
193,18,22.8 °C,20 °C,29 °C,-,77 %,11.1 km/h,-,Nessuno,,Giugno,1997,Itri
194,19,25.7 °C,19 °C,32 °C,n/d,64 %,27.8 km/h,47 km/h,,,Giugno,1997,Itri
195,20,21.7 °C,16 °C,27 °C,-,69 %,22.2 km/h,-,Nessuno,,Giugno,1997,Itri
196,21,21.8 °C,14 °C,28 °C,-,63 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
197,22,23.7 °C,17 °C,31 °C,-,59 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
198,23,22.9 °C,16 °C,28 °C,-,57 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
199,24,20.7 °C,13 °C,28 °C,-,51 %,14.8 km/h,-,Nessuno,,Giugno,1997,Itri
200,25,20.7 °C,12 °C,28 °C,-,57 %,18.3 km/h,-,Nessuno,,Giugno,1997,Itri
201,26,21.3 °C,13 °C,26 °C,-,61 %,20.6 km/h,-,Nessuno,,Giugno,1997,Itri
202,27,22.8 °C,14 °C,31 °C,-,45 %,14.8 km/h,-,Nessuno,,Giugno,1997,Itri
203,28,27.7 °C,18 °C,34 °C,-,39 %,11.1 km/h,-,Nessuno,,Giugno,1997,Itri
204,29,25.4 °C,18 °C,33 °C,-,62 %,25.9 km/h,-,Nessuno,,Giugno,1997,Itri
205,1,25.4 °C,16 °C,32 °C,-,52 %,7.6 km/h,-,Nessuno,,Settembre,1997,Itri
206,2,25.2 °C,17 °C,32 °C,-,60 %,18.3 km/h,-,Nessuno,,Settembre,1997,Itri
207,3,25.2 °C,17 °C,32 °C,-,61 %,13 km/h,-,,,Settembre,1997,Itri
208,4,24.4 °C,18 °C,31 °C,-,52 %,13 km/h,-,Nessuno,,Settembre,1997,Itri
209,5,26.2 °C,17 °C,33 °C,-,48 %,14.8 km/h,-,Nessuno,,Settembre,1997,Itri
210,6,26.4 °C,20 °C,33 °C,-,58 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
211,7,27.3 °C,21 °C,31 °C,-,49 %,14.8 km/h,-,Nessuno,,Settembre,1997,Itri
212,8,26.7 °C,20 °C,35 °C,-,53 %,7.6 km/h,-,Nessuno,,Settembre,1997,Itri
213,9,28.9 °C,18 °C,33 °C,-,48 %,9.4 km/h,-,Nessuno,,Settembre,1997,Itri
214,10,27.9 °C,18 °C,32 °C,-,47 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
215,11,26 °C,17 °C,32 °C,-,59 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
216,12,25.7 °C,16 °C,30 °C,-,54 %,14.8 km/h,-,Nessuno,,Settembre,1997,Itri
217,13,25.2 °C,16 °C,32 °C,-,58 %,7.6 km/h,-,Nessuno,,Settembre,1997,Itri
218,14,22.2 °C,18 °C,29 °C,n/d,79 %,33.5 km/h,-,,,Settembre,1997,Itri
219,15,22.3 °C,16 °C,26 °C,-,60 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
220,16,21.5 °C,14 °C,27 °C,-,57 %,14.8 km/h,-,Nessuno,,Settembre,1997,Itri
221,17,19.8 °C,14 °C,26 °C,-,62 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
222,18,21.3 °C,13 °C,28 °C,-,56 %,13 km/h,-,Nessuno,,Settembre,1997,Itri
223,19,22.6 °C,12 °C,28 °C,-,45 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
224,20,23.2 °C,11 °C,29 °C,-,47 %,9.4 km/h,-,Nessuno,,Settembre,1997,Itri
225,21,22 °C,13 °C,29 °C,-,51 %,13 km/h,-,Nessuno,,Settembre,1997,Itri
226,22,21.6 °C,15 °C,27 °C,-,51 %,7.6 km/h,-,Nessuno,,Settembre,1997,Itri
227,23,19.2 °C,16 °C,22 °C,-,67 %,5.4 km/h,-,Nessuno,,Settembre,1997,Itri
228,24,20.8 °C,16 °C,25 °C,-,66 %,14.8 km/h,-,Nessuno,,Settembre,1997,Itri
229,25,19.9 °C,12 °C,28 °C,-,48 %,11.1 km/h,-,Nessuno,,Settembre,1997,Itri
230,26,21.2 °C,12 °C,26 °C,-,54 %,9.4 km/h,-,Nessuno,,Settembre,1997,Itri
231,27,17.3 °C,11 °C,25 °C,-,67 %,7.6 km/h,-,Nessuno,,Settembre,1997,Itri
232,28,23.2 °C,12 °C,27 °C,-,52 %,9.4 km/h,-,Nessuno,,Settembre,1997,Itri
233,29,20.8 °C,12 °C,27 °C,-,64 %,9.4 km/h,-,Nessuno,,Settembre,1997,Itri
234,1,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
235,2,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
236,3,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
237,4,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
238,5,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
239,6,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
240,7,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
241,8,10 °C,8 °C,11 °C,n/d,86 %,9.4 km/h,-,,,Maggio,1997,Itri
242,9,11.3 °C,4 °C,17 °C,-,73 %,13 km/h,-,,,Maggio,1997,Itri
243,10,14.8 °C,6 °C,21 °C,-,56 %,9.4 km/h,-,Nessuno,,Maggio,1997,Itri
244,11,17.9 °C,8 °C,24 °C,-,49 %,7.6 km/h,-,Nessuno,,Maggio,1997,Itri
245,12,16.6 °C,12 °C,24 °C,-,71 %,-,-,Nessuno,,Maggio,1997,Itri
246,13,21.8 °C,13 °C,30 °C,-,53 %,5.4 km/h,-,Nessuno,,Maggio,1997,Itri
247,14,22.1 °C,13 °C,29 °C,-,53 %,5.4 km/h,-,Nessuno,,Maggio,1997,Itri
248,15,17 °C,15 °C,20 °C,-,87 %,-,-,Nessuno,,Maggio,1997,Itri
249,16,-,-,-,-,-,-,-,,n/d,Maggio,1997,Itri
250,17,21.4 °C,17 °C,25 °C,-,72 %,3.5 km/h,-,Nessuno,,Maggio,1997,Itri
251,18,20.9 °C,15 °C,27 °C,-,69 %,11.1 km/h,-,Nessuno,,Maggio,1997,Itri
252,19,21.9 °C,14 °C,28 °C,-,62 %,9.4 km/h,-,Nessuno,,Maggio,1997,Itri
253,20,22.3 °C,14 °C,28 °C,-,61 %,13 km/h,-,Nessuno,,Maggio,1997,Itri
254,21,21.2 °C,15 °C,26 °C,n/d,71 %,16.5 km/h,-,,,Maggio,1997,Itri
255,22,17.1 °C,12 °C,22 °C,-,72 %,14.8 km/h,-,Nessuno,,Maggio,1997,Itri
256,23,18.2 °C,11 °C,26 °C,-,65 %,13 km/h,-,Nessuno,,Maggio,1997,Itri
257,24,16.9 °C,11 °C,26 °C,-,65 %,9.4 km/h,-,Nessuno,,Maggio,1997,Itri
